Week Number,Week Period,Week Day Start,Week Day End,Trades,Wins,Losses,Win Rate,Total PnL,Average PnL,Average R Multiple,Start Balance,End Balance,Return Percent
1,2024-01-01/2024-01-07,Wednesday,Friday,10,6,4,60.00,6512.38,651.24,1.10,100000.00,106512.38,6.51
2,2024-01-08/2024-01-14,Monday,Friday,16,4,12,25.00,-2220.04,-138.75,-0.13,106512.37,104292.33,-2.08
3,2024-01-15/2024-01-21,Monday,Wednesday,13,6,7,46.15,5941.73,457.06,0.62,104292.33,110234.07,5.70
4,2024-01-29/2024-02-04,Thursday,Friday,8,2,6,25.00,-1409.29,-176.16,-0.12,110234.07,108824.78,-1.28
5,2024-02-05/2024-02-11,Monday,Friday,24,8,16,33.33,2433.49,101.40,0.17,108824.78,111258.27,2.24
6,2024-02-12/2024-02-18,Monday,Friday,15,7,8,46.67,10906.80,727.12,0.63,111258.26,122165.06,9.80
7,2024-02-26/2024-03-03,Friday,Friday,2,0,2,0.00,-3136.09,-1568.05,-1.00,122165.05,119028.96,-2.57
8,2024-03-04/2024-03-10,Monday,Friday,15,6,9,40.00,8061.23,537.42,0.40,119028.97,127090.19,6.77
9,2024-03-11/2024-03-17,Monday,Friday,21,6,15,28.57,-2254.19,-107.34,-0.00,127090.20,124836.00,-1.77
10,2024-03-18/2024-03-24,Monday,Friday,23,3,20,13.04,-17054.94,-741.52,-0.54,124836.00,107781.07,-13.66
11,2024-03-25/2024-03-31,Monday,Thursday,13,1,12,7.69,-6971.87,-536.30,-0.73,107781.07,100809.21,-6.47
12,2024-04-01/2024-04-07,Monday,Friday,17,4,13,23.53,-1921.06,-113.00,-0.18,100809.21,98888.14,-1.91
13,2024-04-08/2024-04-14,Monday,Friday,18,5,13,27.78,-666.10,-37.01,-0.03,98888.13,98222.05,-0.67
14,2024-04-15/2024-04-21,Monday,Friday,14,5,9,35.71,1115.98,79.71,0.25,98222.05,99338.03,1.14
15,2024-04-22/2024-04-28,Monday,Friday,11,5,6,45.45,3031.67,275.61,0.59,99338.03,102369.71,3.05
16,2024-04-29/2024-05-05,Monday,Friday,19,8,11,42.11,5682.86,299.10,0.47,102369.71,108052.58,5.55
17,2024-05-06/2024-05-12,Monday,Thursday,12,6,6,50.00,8850.14,737.51,0.75,108052.58,116902.72,8.19
18,2024-06-03/2024-06-09,Monday,Friday,17,7,10,41.18,9833.97,578.47,0.44,116902.72,126736.67,8.41
19,2024-06-10/2024-06-16,Monday,Thursday,12,4,8,33.33,2302.34,191.86,0.17,126736.67,129039.01,1.82
20,2024-07-01/2024-07-07,Monday,Friday,13,4,9,30.77,372.34,28.64,0.08,129039.01,129411.35,0.29
21,2024-07-08/2024-07-14,Monday,Wednesday,11,5,6,45.45,12795.28,1163.21,0.59,129411.35,142206.62,9.89
22,2024-07-29/2024-08-04,Thursday,Friday,3,2,1,66.67,10563.69,3521.23,1.33,142206.61,152770.30,7.43
23,2024-08-05/2024-08-11,Monday,Tuesday,5,2,3,40.00,5342.70,1068.54,0.40,152770.31,158113.01,3.50
24,2024-09-02/2024-09-08,Monday,Tuesday,5,3,2,60.00,18967.52,3793.50,1.10,158113.01,177080.53,12.00
25,2024-09-30/2024-10-06,Tuesday,Friday,12,3,9,25.00,-5250.00,-437.50,-0.12,177080.53,171830.53,-2.96
26,2024-10-07/2024-10-13,Monday,Friday,14,5,9,35.71,12250.00,875.00,0.25,171830.53,184080.53,7.13
27,2024-10-14/2024-10-20,Monday,Tuesday,3,2,1,66.67,14000.00,4666.67,1.33,184080.53,198080.53,7.61
28,2024-10-28/2024-11-03,Friday,Friday,4,0,4,0.00,-14000.00,-3500.00,-1.00,198080.53,184080.53,-7.07
29,2024-11-04/2024-11-10,Monday,Friday,17,6,11,35.29,14000.00,823.53,0.24,184080.53,198080.53,7.61
30,2024-11-11/2024-11-17,Monday,Wednesday,11,5,6,45.45,22750.00,2068.18,0.59,198080.53,220830.53,11.49
31,2024-12-02/2024-12-08,Monday,Wednesday,11,5,6,45.45,22750.00,2068.18,0.59,220830.53,243580.53,10.30
32,2024-12-30/2025-01-05,Thursday,Friday,5,2,3,40.00,7000.00,1400.00,0.40,243580.53,250580.53,2.87
33,2025-01-06/2025-01-12,Monday,Friday,17,6,11,35.29,14000.00,823.53,0.24,250580.53,264580.53,5.59
34,2025-01-13/2025-01-19,Monday,Tuesday,6,2,4,33.33,3500.00,583.33,0.17,264580.53,268080.53,1.32
35,2025-02-03/2025-02-09,Monday,Friday,26,9,17,34.62,19250.00,740.38,0.21,268080.53,287330.53,7.18
36,2025-02-10/2025-02-16,Monday,Thursday,11,4,7,36.36,10500.00,954.55,0.27,287330.53,297830.53,3.65
37,2025-03-03/2025-03-09,Monday,Thursday,15,7,8,46.67,33250.00,2216.67,0.63,297830.53,331080.53,11.16
38,2025-03-31/2025-04-06,Tuesday,Wednesday,7,5,2,71.43,36750.00,5250.00,1.50,331080.53,367830.53,11.10
39,2025-04-28/2025-05-04,Thursday,Friday,6,1,5,16.67,-8750.00,-1458.33,-0.42,367830.53,359080.53,-2.38
40,2025-05-05/2025-05-11,Monday,Friday,17,4,13,23.53,-10500.00,-617.65,-0.18,359080.53,348580.53,-2.92
41,2025-05-12/2025-05-18,Monday,Friday,13,4,9,30.77,3500.00,269.23,0.08,348580.53,352080.53,1.00
42,2025-05-19/2025-05-25,Monday,Friday,17,6,11,35.29,14000.00,823.53,0.24,352080.53,366080.53,3.98
43,2025-05-26/2025-06-01,Monday,Friday,13,7,6,53.85,40250.00,3096.15,0.88,366080.53,406330.53,10.99
44,2025-06-02/2025-06-08,Monday,Thursday,11,7,4,63.64,47250.00,4295.45,1.23,406330.53,453580.53,11.63
45,2025-06-30/2025-07-06,Tuesday,Friday,6,3,3,50.00,15750.00,2625.00,0.75,453580.53,469330.53,3.47
46,2025-07-07/2025-07-13,Monday,Friday,20,4,16,20.00,-21000.00,-1050.00,-0.30,469330.53,448330.53,-4.47
47,2025-07-14/2025-07-20,Monday,Friday,19,6,13,31.58,7000.00,368.42,0.11,448330.53,455330.53,1.56
48,2025-07-21/2025-07-27,Monday,Friday,17,7,10,41.18,26250.00,1544.12,0.44,455330.53,481580.53,5.77
49,2025-07-28/2025-08-03,Monday,Friday,13,5,8,38.46,15750.00,1211.54,0.35,481580.53,497330.53,3.27
50,2025-08-04/2025-08-10,Monday,Friday,15,7,8,46.67,33250.00,2216.67,0.63,497330.53,530580.53,6.69
51,2025-08-11/2025-08-17,Monday,Friday,14,2,12,14.29,-24500.00,-1750.00,-0.50,530580.53,506080.53,-4.62
52,2025-08-18/2025-08-24,Monday,Friday,18,4,14,22.22,-14000.00,-777.78,-0.22,506080.53,492080.53,-2.77
53,2025-08-25/2025-08-31,Monday,Friday,16,6,10,37.50,17500.00,1093.75,0.31,492080.53,509580.53,3.56
54,2025-09-01/2025-09-07,Monday,Friday,13,4,9,30.77,3500.00,269.23,0.08,509580.53,513080.53,0.69
55,2025-09-08/2025-09-14,Monday,Friday,16,5,11,31.25,5250.00,328.12,0.09,513080.53,518330.53,1.02
56,2025-09-15/2025-09-21,Monday,Friday,17,6,11,35.29,14000.00,823.53,0.24,518330.53,532330.53,2.70
57,2025-09-22/2025-09-28,Monday,Friday,19,6,13,31.58,7000.00,368.42,0.11,532330.53,539330.53,1.31
58,2025-09-29/2025-10-05,Monday,Friday,18,7,11,38.89,22750.00,1263.89,0.36,539330.53,562080.53,4.22
59,2025-10-06/2025-10-12,Monday,Friday,17,7,10,41.18,26250.00,1544.12,0.44,562080.53,588330.53,4.67
60,2025-10-13/2025-10-19,Monday,Thursday,9,5,4,55.56,29750.00,3305.56,0.94,588330.53,618080.53,5.06
61,2025-11-03/2025-11-09,Monday,Friday,14,8,6,57.14,49000.00,3500.00,1.00,618080.53,667080.53,7.93
62,2025-11-10/2025-11-16,Monday,Monday,2,2,0,100.00,17500.00,8750.00,2.50,667080.53,684580.53,2.62
63,2025-12-01/2025-12-07,Monday,Friday,25,6,19,24.00,-14000.00,-560.00,-0.16,684580.53,670580.53,-2.05
64,2025-12-08/2025-12-14,Monday,Friday,11,5,6,45.45,22750.00,2068.18,0.59,670580.53,693330.53,3.39
65,2025-12-15/2025-12-21,Monday,Friday,14,4,10,28.57,0.00,0.00,0.00,693330.53,693330.53,0.00
66,2025-12-22/2025-12-28,Monday,Friday,11,3,8,27.27,-1750.00,-159.09,-0.05,693330.53,691580.53,-0.25
67,2025-12-29/2026-01-04,Monday,Friday,16,6,10,37.50,17500.00,1093.75,0.31,691580.53,709080.53,2.53
68,2026-01-05/2026-01-11,Monday,Friday,13,5,8,38.46,15750.00,1211.54,0.35,709080.53,724830.53,2.22
69,2026-01-12/2026-01-18,Monday,Friday,21,7,14,33.33,12250.00,583.33,0.17,724830.53,737080.53,1.69
70,2026-01-19/2026-01-25,Tuesday,Friday,11,2,9,18.18,-14000.00,-1272.73,-0.36,737080.53,723080.53,-1.90
71,2026-01-26/2026-02-01,Monday,Thursday,10,1,9,10.00,-22750.00,-2275.00,-0.65,723080.53,700330.53,-3.15
